country,year,sex,age,suicides_no,population,suicides_per_100k
Albania,2000,male,35-54 years,4,374700.0,1.0675206832132373
Albania,2000,male,5-14 years,1,374900.0,0.2667377967457989
Albania,2000,male,55-74 years,10,177400.0,5.636978579481398
Albania,2000,male,75+ years,1,24900.0,4.016064257028113
Albania,2001,female,15-24 years,9,271359.0,3.3166395807767572
Albania,2001,female,25-34 years,4,222771.0,1.7955658501330964
Albania,2001,female,35-54 years,12,370191.0,3.24156989229884
Albania,2001,female,5-14 years,2,307356.0,0.6507112273715171
Albania,2001,female,55-74 years,6,189799.0,3.161238994936749
Albania,2001,female,75+ years,2,47254.0,4.232445930503238
Albania,2001,male,15-24 years,10,256039.0,3.905654997871418
Albania,2001,male,25-34 years,22,206484.0,10.65457856298793
Albania,2001,male,35-54 years,34,378826.0,8.975096746263455
Albania,2001,male,5-14 years,6,321556.0,1.8659269303014094
Albania,2001,male,55-74 years,11,196670.0,5.59312554024508
Albania,2001,male,75+ years,1,31044.0,3.2212343770132716
Albania,2002,female,15-24 years,14,275970.0,5.073015182809725
Albania,2002,female,25-34 years,7,223685.0,3.129400719762166
Albania,2002,female,35-54 years,15,375113.0,3.9987950297643646
Albania,2002,female,5-14 years,1,304850.0,0.3280301787764474
Albania,2002,female,55-74 years,4,191712.0,2.086463027875146
Albania,2002,female,75+ years,1,47407.0,2.1093931275971904
Albania,2002,male,15-24 years,15,263067.0,5.70196946025157
Albania,2002,male,25-34 years,23,206286.0,11.14956904491822
Albania,2002,male,35-54 years,35,382139.0,9.158970950360994
Albania,2002,male,5-14 years,1,319473.0,0.31301549739727613
Albania,2002,male,55-74 years,13,198130.0,6.561348609498814
Albania,2002,male,75+ years,4,31007.0,12.900312832586192
Albania,2003,female,15-24 years,14,283709.0,4.934633726811628
Albania,2003,female,25-34 years,9,222941.0,4.036942509453174
Albania,2003,female,35-54 years,13,381760.0,3.4052808046940486
Albania,2003,female,5-14 years,0,298477.0,0.0
Albania,2003,female,55-74 years,9,195699.0,4.598899330093664
Albania,2003,female,75+ years,6,49088.0,12.222946544980445
Albania,2003,male,15-24 years,15,273235.0,5.489779859827621
Albania,2003,male,25-34 years,9,205433.0,4.380990395895498
Albania,2003,male,35-54 years,28,386196.0,7.250204559342924
Albania,2003,male,5-14 years,4,313204.0,1.27712289753643
Albania,2003,male,55-74 years,16,201520.0,7.939658594680428
Albania,2003,male,75+ years,1,32667.0,3.0611932531300705
Albania,2004,female,15-24 years,20,292268.0,6.843034475207686
Albania,2004,female,25-34 years,11,222389.0,4.9462878109978465
Albania,2004,female,35-54 years,17,391436.0,4.342983271850316
Albania,2004,female,5-14 years,3,286705.0,1.046371706109067
Albania,2004,female,55-74 years,3,203841.0,1.4717353231194903
Albania,2004,female,75+ years,3,50970.0,5.885815185403178
Albania,2004,male,15-24 years,19,286768.0,6.625564916587625
Albania,2004,male,25-34 years,16,203938.0,7.845521678157087
Albania,2004,male,35-54 years,39,391767.0,9.95489666051505
Albania,2004,male,5-14 years,1,302181.0,0.3309274904775615
Albania,2004,male,55-74 years,10,207202.0,4.826208241233193
Albania,2004,male,75+ years,4,35526.0,11.259359342453415
Albania,2005,female,15-24 years,0,281922.0,0.0
Albania,2005,female,25-34 years,0,190745.0,0.0
Albania,2005,female,35-54 years,0,386513.0,0.0
Albania,2005,female,5-14 years,0,276559.0,0.0
Albania,2005,female,55-74 years,0,210998.0,0.0
Albania,2005,female,75+ years,0,53191.0,0.0
Albania,2005,male,15-24 years,0,281675.0,0.0
Albania,2005,male,25-34 years,0,177519.0,0.0
Albania,2005,male,35-54 years,0,380242.0,0.0
Albania,2005,male,5-14 years,0,291367.0,0.0
Albania,2005,male,55-74 years,0,214118.0,0.0
Albania,2005,male,75+ years,0,38471.0,0.0
Albania,2006,female,15-24 years,0,283138.0,0.0
Albania,2006,female,25-34 years,0,186391.0,0.0
Albania,2006,female,35-54 years,0,388746.0,0.0
Albania,2006,female,5-14 years,0,267316.0,0.0
Albania,2006,female,55-74 years,0,215907.0,0.0
Albania,2006,female,75+ years,0,56011.0,0.0
Albania,2006,male,15-24 years,0,286679.0,0.0
Albania,2006,male,25-34 years,0,174092.0,0.0
Albania,2006,male,35-54 years,0,379076.0,0.0
Albania,2006,male,5-14 years,0,282678.0,0.0
Albania,2006,male,55-74 years,0,219360.0,0.0
Albania,2006,male,75+ years,0,40782.0,0.0
Albania,2007,female,15-24 years,13,281080.0,4.625017788529957
Albania,2007,female,25-34 years,8,183629.0,4.356610339325488
Albania,2007,female,35-54 years,14,391811.0,3.573151340825041
Albania,2007,female,5-14 years,0,256808.0,0.0
Albania,2007,female,55-74 years,9,221120.0,4.070188133140376
Albania,2007,female,75+ years,3,57404.0,5.226116646923559
Albania,2007,male,15-24 years,13,288349.0,4.508425553756039
Albania,2007,male,25-34 years,9,172494.0,5.217572785140352
Albania,2007,male,35-54 years,29,378626.0,7.659273267023394
Albania,2007,male,5-14 years,4,272497.0,1.4679060686906644
Albania,2007,male,55-74 years,14,224160.0,6.245538900785154
Albania,2007,male,75+ years,8,42366.0,18.883066610017465
